title,link,date,description,source
ЦБ не видит серьезных рисков повышения первичного дефицита бюджета России,https://www.finam.ru/publications/item/tsb-ne-vidit-sereznykh-riskov-povysheniya-pervichnogo-defitsita-byudzheta-rossii-20260915-1315/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-15 13:11,"Банк России прогнозирует первичный структурный дефицит на уровне 2% ВВП в 2026 году, 1% в 2027 году и 0,5% в 2028 году...<a href=""https://www.finam.ru/publications/item/tsb-ne-vidit-sereznykh-riskov-p",finam_rss
ЦБ дал оценку вклада роста цен на топливо в ускорение инфляции,https://www.finam.ru/publications/item/tsb-dal-otsenku-vklada-rosta-tsen-na-toplivo-v-uskorenie-inflyatsii-20260915-1251/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-15 12:45,"По оценкам регулятора, прямой вклад повышения цен на топливо в прирост потребительских цен составил около 0,7-0,8 п.п....<a href=""https://www.finam.ru/publications/item/tsb-dal-otsenku-vklada-rosta-ts",finam_rss
Российский рынок корректируется после очередного «ралли Трампа»,https://www.finam.ru/publications/item/rossiyskiy-rynok-korrektiruetsya-posle-ocherednogo-ralli-trampa-20260915-1243/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-15 12:43,"Динамика зависит от нефти и геополитики...<a href=""https://www.finam.ru/publications/item/rossiyskiy-rynok-korrektiruetsya-posle-ocherednogo-ralli-trampa-20260915-1243/?utm_source=rss&amp;utm_medium=n",finam_rss
"По данным Bloomberg, «Норникель» ищет нового партнера для переработки меди в Китае",https://www.finam.ru/publications/item/po-dannym-bloomberg-nornikel-ishchet-novogo-partnera-dlya-pererabotki-medi-v-kitae-20260915-1230/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-15 12:30,"Сообщается, что компания ведет переговоры с фирмой North Copper...<a href=""https://www.finam.ru/publications/item/po-dannym-bloomberg-nornikel-ishchet-novogo-partnera-dlya-pererabotki-medi-v-kitae-202",finam_rss
Акционеры «Яндекса» утвердили дивиденды за 1 полугодие в 110 рублей на акцию,https://www.finam.ru/publications/item/aktsionery-yandeksa-utverdili-dividendy-za-1-polugodie-v-110-rubley-na-aktsiyu-20260915-1210/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-15 12:06,"Последним днем для покупки акций под дивиденд в режиме Т+1 станет 18 сентября...<a href=""https://www.finam.ru/publications/item/aktsionery-yandeksa-utverdili-dividendy-za-1-polugodie-v-110-rubley-na-a",finam_rss
«Эксперт РА» подтвердил кредитный рейтинг «Россети Ленэнерго» на уровне ruAАA,https://www.finam.ru/publications/item/ekspert-ra-podtverdil-kreditnyy-reyting-rosseti-lenenergo-na-urovne-ruaaa-20260915-1210/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-15 12:10,"Прогноз по рейтингу - стабильный...<a href=""https://www.finam.ru/publications/item/ekspert-ra-podtverdil-kreditnyy-reyting-rosseti-lenenergo-na-urovne-ruaaa-20260915-1210/?utm_source=rss&amp;utm_mediu",finam_rss
Число пайщиков «Рентал ПРО» выросло на четверть в 2026 году и достигло 6 682,https://www.finam.ru/publications/item/chislo-payshchikov-rental-pro-vyroslo-na-chetvert-v-2026-godu-i-dostiglo-6-682-20260915-1130/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-15 11:30,"Стабильность выплат на протяжении всего периода существования фонда стала одним из ключевых факторов при принятии инвестиционного решения...<a href=""https://www.finam.ru/publications/item/chislo-paysh",finam_rss
«ПРОМОМЕД» создала первый в России биспецифический онкопрепарат,https://www.finam.ru/publications/item/promomed-sozdala-pervyy-v-rossii-bispetsificheskiy-onkopreparat-20260915-1107/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-15 11:07,"Акции компании дорожают почти на 2%...<a href=""https://www.finam.ru/publications/item/promomed-sozdala-pervyy-v-rossii-bispetsificheskiy-onkopreparat-20260915-1107/?utm_source=rss&amp;utm_medium=new_c",finam_rss
"Количество выданных в России автокредитов в августе сократилось на 6,9%",https://www.finam.ru/publications/item/kolichestvo-vydannykh-v-rossii-avtokreditov-v-avguste-sokratilos-na-69-20260915-1100/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-15 10:54,"В прошлом месяце было выдано 101 тыс. автокредитов...<a href=""https://www.finam.ru/publications/item/kolichestvo-vydannykh-v-rossii-avtokreditov-v-avguste-sokratilos-na-69-20260915-1100/?utm_source=rs",finam_rss
«Сбер» с отрывом возглавил топ-100 самых дорогих брендов России в 2026 году по версии BrandLab,https://www.finam.ru/publications/item/sber-s-otryvom-vozglavil-top-100-samykh-dorogikh-brendov-rossii-v-2026-godu-po-versii-brandlab-20260915-1018/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-15 09:55,"Также в первую тройку самых дорогих брендов вошли «Газпром» и «Яндекс», «ЛУКОЙЛ» занял 13-ую строчку...<a href=""https://www.finam.ru/publications/item/sber-s-otryvom-vozglavil-top-100-samykh-dorogikh-",finam_rss
