title,link,date,description,source
АКРА повысило кредитный рейтинг Positive Technologies до уровня AA(RU),https://www.finam.ru/publications/item/akra-povysilo-kreditnyy-reyting-positive-technologies-do-urovnya-aaru-20260923-1318/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 13:09,"Прогноз - ""стабильный""...<a href=""https://www.finam.ru/publications/item/akra-povysilo-kreditnyy-reyting-positive-technologies-do-urovnya-aaru-20260923-1318/?utm_source=rss&amp;utm_medium=new_compaign",finam_rss
Индекс МосБиржи падает на словах Пескова об отсутствии предпосылок для выхода на мирные переговоры по Украине,https://www.finam.ru/publications/item/indeks-mosbirzhi-padaet-na-slovakh-peskova-ob-otsutstvii-predposylok-dlya-vykhoda-na-mirnye-peregovory-po-ukraine-20260923-1240/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 12:28,"При этом представитель Кремля отметил, что Москва сохраняет свою открытость для мирных переговоров...<a href=""https://www.finam.ru/publications/item/indeks-mosbirzhi-padaet-na-slovakh-peskova-ob-otsut",finam_rss
Чем сегодня живет российский рынок,https://www.finam.ru/publications/item/chem-segodnya-zhivet-rossiyskiy-rynok-20260923-1229/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 12:29,"Переговоры на полях ООН и санкционная оттепель...<a href=""https://www.finam.ru/publications/item/chem-segodnya-zhivet-rossiyskiy-rynok-20260923-1229/?utm_source=rss&amp;utm_medium=new_compaigns&amp;ne",finam_rss
"ОЭСР сохранила прогноз по росту ВВП РФ на 2026 год на уровне 0,5%",https://www.finam.ru/publications/item/oesr-sokhranila-prognoz-po-rostu-vvp-rf-na-2026-god-na-urovne-05-20260923-1146/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 11:37,"При этом прогноз на 2027 год понижен с 0,8% до 0,6%...<a href=""https://www.finam.ru/publications/item/oesr-sokhranila-prognoz-po-rostu-vvp-rf-na-2026-god-na-urovne-05-20260923-1146/?utm_source=rss&amp",finam_rss
Ozon расширил программу поддержки для продавцов,https://www.finam.ru/publications/item/ozon-rasshiril-programmu-podderzhki-dlya-prodavtsov-20260923-1123/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 11:18,"Меры включают бесплатное размещение товаров на складах маркетплейса в течение 365 дней...<a href=""https://www.finam.ru/publications/item/ozon-rasshiril-programmu-podderzhki-dlya-prodavtsov-20260923-11",finam_rss
«Ъ» узнал о планах правительства ввести сбор с авиабилетов на поддержку российских самолетов,https://www.finam.ru/publications/item/uznal-o-planakh-pravitelstva-vvesti-sbor-s-aviabiletov-na-podderzhku-rossiyskikh-samoletov-20260923-1028/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 10:13,"По данным источников газеты, сбор может составить до 500-700 рублей за внутренний рейс и до 1000-2000 рублей за международный...<a href=""https://www.finam.ru/publications/item/uznal-o-planakh-pravitel",finam_rss
"Дефицит бюджета России в 1 полугодии составил 5,8 трлн рублей",https://www.finam.ru/publications/item/defitsit-byudzheta-rossii-v-1-polugodii-sostavil-58-trln-rubley-20260923-0936/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 09:28,"По данным Счетной палаты, этот объем в 1,5 раза превышает запланированный показатель на весь год...<a href=""https://www.finam.ru/publications/item/defitsit-byudzheta-rossii-v-1-polugodii-sostavil-58-t",finam_rss
Акции «Газпрома» и «НОВАТЭКа» тянут российский рынок вверх,https://www.finam.ru/publications/item/aktsii-gazproma-i-novateka-tyanut-rossiyskiy-rynok-vverkh-20260923-0922/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 08:42,"Рубль умеренно снижается в начале основной сессии...<a href=""https://www.finam.ru/publications/item/aktsii-gazproma-i-novateka-tyanut-rossiyskiy-rynok-vverkh-20260923-0922/?utm_source=rss&amp;utm_medi",finam_rss
Миллиардер Тодд Боули получил поддержку США для покупки зарубежных активов «ЛУКОЙЛа»,https://www.finam.ru/publications/item/milliarder-todd-bouli-poluchil-podderzhku-ssha-dlya-pokupki-zarubezhnykh-aktivov-lukoyla-20260923-0901/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 08:51,"По данным FT, консорциум Боули стремится опередить Carlyle, которая достигла соглашения с «ЛУКОЙЛом» в январе этого года...<a href=""https://www.finam.ru/publications/item/milliarder-todd-bouli-poluchi",finam_rss
Акционеры «Татнефти» и «ИНАРКТИКА» проголосуют по дивидендам – основные события 23 сентября,https://www.finam.ru/publications/item/aktsionery-tatnefti-i-inarktika-progolosuyut-po-dividendam-osnovnye-sobytiya-23-sentyabrya-20260923-0900/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-22 19:32,"Минфин проведет аукционы по размещению ОФЗ, а СД «Яндекса» обсудит увеличение уставного капитала...<a href=""https://www.finam.ru/publications/item/aktsionery-tatnefti-i-inarktika-progolosuyut-po-divid",finam_rss
