title,link,date,description,source
Российский рынок откатился вниз после разговора Путина с Трампом,https://www.finam.ru/publications/item/rossiyskiy-rynok-otkatilsya-vniz-posle-razgovora-putina-s-trampom-20260908-1800/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-08 17:49,"Лидеры России и США обменялись мнениями по итогам визитов Уиткоффа и Кушнера в Москву и Киев...<a href=""https://www.finam.ru/publications/item/rossiyskiy-rynok-otkatilsya-vniz-posle-razgovora-putina-s",finam_rss
"ЦБ повысил официальный курс доллара на 9 сентября до 86,473 рубля",https://www.finam.ru/publications/item/tsb-povysil-ofitsialnyy-kurs-dollara-na-9-sentyabrya-do-86473-rublya-20260908-1738/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-08 17:34,"Курс евро увеличен до 100,4989 рубля...<a href=""https://www.finam.ru/publications/item/tsb-povysil-ofitsialnyy-kurs-dollara-na-9-sentyabrya-do-86473-rublya-20260908-1738/?utm_source=rss&amp;utm_medium",finam_rss
Мосбиржа остановит торги акциями «ПИКа» с 20 октября,https://www.finam.ru/publications/item/mosbirzha-ostanovit-torgi-aktsiyami-pika-s-20-oktyabrya-20260908-1641/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-08 16:37,"15 октября станет последним торговым днем в стакане Т+1...<a href=""https://www.finam.ru/publications/item/mosbirzha-ostanovit-torgi-aktsiyami-pika-s-20-oktyabrya-20260908-1641/?utm_source=rss&amp;utm_",finam_rss
Власти проработают соглашения с малыми НПЗ и независимыми АЗС для регулирования ценообразования,https://www.finam.ru/publications/item/vlasti-prorabotayut-soglasheniya-s-malymi-npz-i-nezavisimymi-azs-dlya-regulirovaniya-tsenoobrazovaniya-20260908-1511/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-08 15:11,"ФАС уже возбудила 51 дело для пресечения необоснованного завышения цен на топливо...<a href=""https://www.finam.ru/publications/item/vlasti-prorabotayut-soglasheniya-s-malymi-npz-i-nezavisimymi-azs-dly",finam_rss
"Нефтяные компании перенесли плановые ремонты на НПЗ, чтобы увеличить поставки топлива",https://www.finam.ru/publications/item/neftyanye-kompanii-perenesli-planovye-remonty-na-npz-chtoby-uvelichit-postavki-topliva-20260908-1506/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-08 15:06,"Поставки ресурсов в рамках северного завоза идут стабильно...<a href=""https://www.finam.ru/publications/item/neftyanye-kompanii-perenesli-planovye-remonty-na-npz-chtoby-uvelichit-postavki-topliva-2026",finam_rss
"Рынок на подъеме, индекс МосБиржи взял 2300 пунктов",https://www.finam.ru/publications/item/rynok-na-podeme-indeks-mosbirzhi-vzyal-2300-punktov-20260908-1404/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-08 14:04,"Главные факторы и перспективы...<a href=""https://www.finam.ru/publications/item/rynok-na-podeme-indeks-mosbirzhi-vzyal-2300-punktov-20260908-1404/?utm_source=rss&amp;utm_medium=new_compaigns&amp;news_",finam_rss
«Россети Томск» планируют реорганизацию в форме присоединения к «Россети Сибирь»,https://www.finam.ru/publications/item/rosseti-tomsk-planiruyut-reorganizatsiyu-v-forme-prisoedineniya-k-rosseti-sibir-20260908-1311/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-08 13:03,"Финальное решение будет принято акционерами 19 ноября...<a href=""https://www.finam.ru/publications/item/rosseti-tomsk-planiruyut-reorganizatsiyu-v-forme-prisoedineniya-k-rosseti-sibir-20260908-1311/?u",finam_rss
Российский рынок ускорил рост на словах Пескова о скором урегулировании конфликта на Украине,https://www.finam.ru/publications/item/rossiyskiy-rynok-uskoril-rost-na-slovakh-peskova-o-skorom-uregulirovanii-konflikta-na-ukraine-20260908-1252/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-08 12:42,"В моменте индекс МосБиржи превышал отметку в 2900 пунктов впервые с 13 августа...<a href=""https://www.finam.ru/publications/item/rossiyskiy-rynok-uskoril-rost-na-slovakh-peskova-o-skorom-uregulirovani",finam_rss
Семейная ипотека в августе стала главным драйвером рынка,https://www.finam.ru/publications/item/semeynaya-ipoteka-v-avguste-stala-glavnym-drayverom-rynka-20260908-1124/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-08 11:24,"И все же интерес к ипотеке с господдержкой постепенно снижается...<a href=""https://www.finam.ru/publications/item/semeynaya-ipoteka-v-avguste-stala-glavnym-drayverom-rynka-20260908-1124/?utm_source=rs",finam_rss
"Объем торгов драгметаллами на Мосбирже в августе вырос в 2,1 раза",https://www.finam.ru/publications/item/obem-torgov-dragmetallami-na-mosbirzhe-v-avguste-vyros-v-21-raza-20260908-1042/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-08 10:40,"Совокупный объем сделок составил 506,1 млрд рублей...<a href=""https://www.finam.ru/publications/item/obem-torgov-dragmetallami-na-mosbirzhe-v-avguste-vyros-v-21-raza-20260908-1042/?utm_source=rss&amp;",finam_rss
