title,link,date,description,source
FESCO переориентировала контейнерные отправки из Анкары,https://www.finam.ru/publications/item/fesco-pereorientirovala-konteynernye-otpravki-iz-ankary-20260924-1346/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-24 13:38,"Теперь грузы следуют не через Новороссийск, а через Санкт‑Петербург...<a href=""https://www.finam.ru/publications/item/fesco-pereorientirovala-konteynernye-otpravki-iz-ankary-20260924-1346/?utm_source=",finam_rss
"""Яндекс"" запустил Алису AI Про для бизнеса",https://www.finam.ru/publications/item/yandeks-zapustil-alisu-ai-pro-dlya-biznesa-20260924-1338/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-24 13:32,"Это расширенная версия корпоративного ИИ-ассистента — для компаний с особыми требованиями к хранению и обработке данных...<a href=""https://www.finam.ru/publications/item/yandeks-zapustil-alisu-ai-pro-",finam_rss
"Чистая прибыль «Т-Банка» по РСБУ в январе-августе выросла до 131,8 млрд рублей",https://www.finam.ru/publications/item/chistaya-pribyl-t-banka-po-rsbu-v-yanvare-avguste-vyrosla-do-1318-mlrd-rubley-20260924-1254/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-24 12:50,"Отдельно в августе банк заработал 24,5 млрд рублей чистой прибыли...<a href=""https://www.finam.ru/publications/item/chistaya-pribyl-t-banka-po-rsbu-v-yanvare-avguste-vyrosla-do-1318-mlrd-rubley-202609",finam_rss
Минфин раскачал рынок,https://www.finam.ru/publications/item/minfin-raskachal-rynok-20260924-1240/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-24 12:40,"Налоги оказались сильнее новостей с Генассамблеи ООН...<a href=""https://www.finam.ru/publications/item/minfin-raskachal-rynok-20260924-1240/?utm_source=rss&amp;utm_medium=new_compaigns&amp;news_to_fin",finam_rss
ВТБ перенес допэмиссию на октябрь,https://www.finam.ru/publications/item/vtb-perenes-dopemissiyu-na-oktyabr-20260924-1244/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-24 12:34,"По словам Костина, допэмиссия обязательно состоится...<a href=""https://www.finam.ru/publications/item/vtb-perenes-dopemissiyu-na-oktyabr-20260924-1244/?utm_source=rss&amp;utm_medium=new_compaigns&amp;",finam_rss
Костин подтвердил сохранение планов ВТБ по сделке с RWB,https://www.finam.ru/publications/item/kostin-podtverdil-sokhranenie-planov-vtb-po-sdelke-s-rwb-20260924-1201/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-24 11:55,"Глава ВТБ полагает, что в ближайший месяц могут быть завершены все договоренности...<a href=""https://www.finam.ru/publications/item/kostin-podtverdil-sokhranenie-planov-vtb-po-sdelke-s-rwb-20260924-12",finam_rss
Эльвира Набиуллина отметила большой интерес к приватизации НСПК,https://www.finam.ru/publications/item/elvira-nabiullina-otmetila-bolshoy-interes-k-privatizatsii-nspk-20260924-1137/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-24 11:35,"В октябре ЦБ рассчитывает начать консультации с потенциальными покупателями...<a href=""https://www.finam.ru/publications/item/elvira-nabiullina-otmetila-bolshoy-interes-k-privatizatsii-nspk-20260924-1",finam_rss
Минфин предлагает ввести налог на допдоход горняков,https://www.finam.ru/publications/item/minfin-predlagaet-vvesti-nalog-na-dopdokhod-gornyakov-20260924-1133/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-24 11:33,"Для золота ставка составит 20%...<a href=""https://www.finam.ru/publications/item/minfin-predlagaet-vvesti-nalog-na-dopdokhod-gornyakov-20260924-1133/?utm_source=rss&amp;utm_medium=new_compaigns&amp;ne",finam_rss
Минфин предлагает НДС в 22% на зарубежные онлайн-покупки,https://www.finam.ru/publications/item/minfin-predlagaet-nds-v-22-na-zarubezhnye-onlayn-pokupki-20260924-1128/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-24 11:28,"А для посылок стоимостью до 200 евро планируется ввести таможенный сбор в 100 рублей...<a href=""https://www.finam.ru/publications/item/minfin-predlagaet-nds-v-22-na-zarubezhnye-onlayn-pokupki-20260924",finam_rss
Минфин России предлагает внести изменения в Налоговый кодекс,https://www.finam.ru/publications/item/minfin-rossii-predlagaet-vnesti-izmeneniya-v-nalogovyy-kodeks-20260924-1121/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-24 11:21,"В частности, прилагается включить в основную налоговую базу по НДФЛ пассивные доходы...<a href=""https://www.finam.ru/publications/item/minfin-rossii-predlagaet-vnesti-izmeneniya-v-nalogovyy-kodeks-202",finam_rss
Эльвира Набиуллина не видит проблем с банковской ликвидностью,https://www.finam.ru/publications/item/elvira-nabiullina-ne-vidit-problem-s-bankovskoy-likvidnostyu-20260924-1119/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-24 11:17,"Банки это подтверждают...<a href=""https://www.finam.ru/publications/item/elvira-nabiullina-ne-vidit-problem-s-bankovskoy-likvidnostyu-20260924-1119/?utm_source=rss&amp;utm_medium=new_compaigns&amp;new",finam_rss
Дефицит бюджета России на ближайшие 3 года составит около 2% ВВП ежегодно,https://www.finam.ru/publications/item/defitsit-byudzheta-rossii-na-blizhayshie-3-goda-sostavit-okolo-2-vvp-ezhegodno-20260924-1113/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-24 11:13,"Приоритеты - социальные обязательства, оборона, поддержка СВО и технологическое лидерство...<a href=""https://www.finam.ru/publications/item/defitsit-byudzheta-rossii-na-blizhayshie-3-goda-sostavit-oko",finam_rss
Мосбиржа с 29 сентября начинает торги фьючерсом на Индекс ключевой ставки,https://www.finam.ru/publications/item/mosbirzha-s-29-sentyabrya-nachinaet-torgi-fyuchersom-na-indeks-klyuchevoy-stavki-20260924-1039/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-24 10:39,"Новый инструмент ориентирован на широкий круг участников...<a href=""https://www.finam.ru/publications/item/mosbirzha-s-29-sentyabrya-nachinaet-torgi-fyuchersom-na-indeks-klyuchevoy-stavki-20260924-103",finam_rss
"Финансовая устойчивость банков находится под контролем, считает Набиуллина",https://www.finam.ru/publications/item/finansovaya-ustoychivost-bankov-nakhoditsya-pod-kontrolem-schitaet-nabiullina-20260924-1042/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-24 10:41,"По ее словам, проблемные кредиты достаточно покрыты резервами...<a href=""https://www.finam.ru/publications/item/finansovaya-ustoychivost-bankov-nakhoditsya-pod-kontrolem-schitaet-nabiullina-20260924-1",finam_rss
Рынок идет к 2350 пунктам на фоне нефти выше $100 и сигналов из Вашингтона,https://www.finam.ru/publications/item/mosbirzha-idet-k-2350-punktam-na-fone-nefti-vyshe-100-i-signalov-iz-vashingtona-20260924-0923/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-24 09:23,"При этом акции Ozon отыграли всю просадку после атак на склады компании...<a href=""https://www.finam.ru/publications/item/mosbirzha-idet-k-2350-punktam-na-fone-nefti-vyshe-100-i-signalov-iz-vashington",finam_rss
Бюджет России и дивиденды БСП - основные события 24 сентября,https://www.finam.ru/publications/item/byudzhet-rossii-i-dividendy-bsp-osnovnye-sobytiya-24-sentyabrya-20260924-0900/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 18:28,"Также СПБ Биржа продлит основную сессию на час...<a href=""https://www.finam.ru/publications/item/byudzhet-rossii-i-dividendy-bsp-osnovnye-sobytiya-24-sentyabrya-20260924-0900/?utm_source=rss&amp;utm_m",finam_rss
Приглашение Путину на G20 и визит Дмитриева в США подогревают рост рынка РФ,https://www.finam.ru/publications/item/priglashenie-putinu-na-g20-i-vizit-dmitrieva-v-ssha-podogrevayut-rost-rynka-rf-20260924-0819/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-24 08:09,"Кирилл Дмитриев отправился в США, где встретится с представителями администрации Трампа Стивом Уиткоффом и Джаредом Кушнером...<a href=""https://www.finam.ru/publications/item/priglashenie-putinu-na-g2",finam_rss
"Минфин заявил, что план по «обелению» российской экономики уже принес первые результаты",https://www.finam.ru/publications/item/minfin-zayavil-chto-plan-po-obeleniyu-rossiyskoy-ekonomiki-uzhe-prines-pervye-rezultaty-20260923-2150/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 21:50,"Одним из ключевых предстоящих изменений станет новый порядок подтверждения доходов граждан при принятии банками решений по кредитам...<a href=""https://www.finam.ru/publications/item/minfin-zayavil-cht",finam_rss
"Греф ожидает, что массовое применение роботов в различных сферах начнется с 2028 года",https://www.finam.ru/publications/item/gref-ozhidaet-chto-massovoe-primenenie-robotov-v-razlichnykh-sferakh-nachnetsya-s-2028-goda-20260923-2143/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 21:43,"Выход в физический мир станет следующим шагом в развитии ИИ...<a href=""https://www.finam.ru/publications/item/gref-ozhidaet-chto-massovoe-primenenie-robotov-v-razlichnykh-sferakh-nachnetsya-s-2028-god",finam_rss
"Греф заявил, что ИИ стал основой бизнес-модели «Сбера»",https://www.finam.ru/publications/item/gref-zayavil-chto-ii-stal-osnovoy-biznes-modeli-sbera-20260923-2139/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 21:39,"Банк запустил более тысячи инициатив в области ИИ...<a href=""https://www.finam.ru/publications/item/gref-zayavil-chto-ii-stal-osnovoy-biznes-modeli-sbera-20260923-2139/?utm_source=rss&amp;utm_medium=n",finam_rss
Новости среды помогли индексу МосБиржи удержаться выше 2300 пунктов,https://www.finam.ru/publications/item/novosti-sredy-pomogli-indeksu-mosbirzhi-uderzhatsya-vyshe-2300-punktov-20260923-2121/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 21:21,"Главный фокус внимания прикован к Нью-Йорку, где на этой неделе проходит 81-я сессия Генассамблеи ООН...<a href=""https://www.finam.ru/publications/item/novosti-sredy-pomogli-indeksu-mosbirzhi-uderzhat",finam_rss
ФАС России разработала проект единого закона о тарифном регулировании,https://www.finam.ru/publications/item/fas-rossii-razrabotala-proekt-edinogo-zakona-o-tarifnom-regulirovanii-20260923-2119/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 21:19,"Документ предполагает установление тарифов на срок не менее 5 лет...<a href=""https://www.finam.ru/publications/item/fas-rossii-razrabotala-proekt-edinogo-zakona-o-tarifnom-regulirovanii-20260923-2119/",finam_rss
ЦБ намерен рекомендовать банкам усилить проверки происхождения наличных,https://www.finam.ru/publications/item/tsb-nameren-rekomendovat-bankam-usilit-proverki-proiskhozhdeniya-nalichnykh-20260923-2101/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 21:01,"Новая методическая рекомендация появится в ближайшее время...<a href=""https://www.finam.ru/publications/item/tsb-nameren-rekomendovat-bankam-usilit-proverki-proiskhozhdeniya-nalichnykh-20260923-2101/?",finam_rss
«ЛУКОЙЛ» и «Озон» стали в среду фаворитами на рынке,https://www.finam.ru/publications/item/rynok-zavershaet-sredu-v-plyuse-v-favoritakh-lukoyl-i-ozon-20260923-1942/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 19:42,"Рост рынка на вечерней сессии замедлился до 0,3%...<a href=""https://www.finam.ru/publications/item/rynok-zavershaet-sredu-v-plyuse-v-favoritakh-lukoyl-i-ozon-20260923-1942/?utm_source=rss&amp;utm_medi",finam_rss
"В России промпроизводство в августе снизилось на 0,6%",https://www.finam.ru/publications/item/v-rossii-promproizvodstvo-v-avguste-snizilos-na-06-20260923-1924/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 19:24,"Основной положительный вклад продолжает вносить машиностроительный комплекс...<a href=""https://www.finam.ru/publications/item/v-rossii-promproizvodstvo-v-avguste-snizilos-na-06-20260923-1924/?utm_sour",finam_rss
"Годовая инфляция в России замедлилась до 6,22%",https://www.finam.ru/publications/item/godovaya-inflyatsiya-v-rossii-zamedlilas-do-622-20260923-1916/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 19:16,"Неделей ранее показатель составлял 6,24%...<a href=""https://www.finam.ru/publications/item/godovaya-inflyatsiya-v-rossii-zamedlilas-do-622-20260923-1916/?utm_source=rss&amp;utm_medium=new_compaigns&am",finam_rss
"Инфляция с 15 по 21 сентября в России составила 0,06%",https://www.finam.ru/publications/item/inflyatsiya-s-15-po-21-sentyabrya-v-rossii-sostavila-006-20260923-1908/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 19:08,"Дизельное топливо подешевело на 0,7%, овощи тоже дешевеют, а яйца дорожают...<a href=""https://www.finam.ru/publications/item/inflyatsiya-s-15-po-21-sentyabrya-v-rossii-sostavila-006-20260923-1908/?utm",finam_rss
"ЦБ предупредил, что быстрый рост кредита и бюджетный импульс могут потребовать более жесткой ДКП",https://www.finam.ru/publications/item/tsb-predupredil-chto-bystryy-rost-kredita-i-byudzhetnyy-impuls-mogut-potrebovat-bolee-zhestkoy-dkp-20260923-1757/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 17:57,"Корпоративное кредитование в России в июле-августе росло высокими темпами и по широкому кругу заемщиков...<a href=""https://www.finam.ru/publications/item/tsb-predupredil-chto-bystryy-rost-kredita-i-by",finam_rss
ЦБ отмечает изменения в структуре сбережений россиян,https://www.finam.ru/publications/item/tsb-otmechaet-izmeneniya-v-strukture-sberezheniy-rossiyan-20260923-1741/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 17:41,"Выросли средства на текущих и накопительных счетах, вложения в недвижимость и инструменты финансового рынка, а также спрос на наличные деньги...<a href=""https://www.finam.ru/publications/item/tsb-otme",finam_rss
"ЦБ повысил официальный курс доллара на 24 сентября до 84,3969 рубля",https://www.finam.ru/publications/item/tsb-povysil-ofitsialnyy-kurs-dollara-na-24-sentyabrya-do-843969-rublya-20260923-1737/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 17:35,"Курс евро повышен до 96,7442 рубля...<a href=""https://www.finam.ru/publications/item/tsb-povysil-ofitsialnyy-kurs-dollara-na-24-sentyabrya-do-843969-rublya-20260923-1737/?utm_source=rss&amp;utm_medium",finam_rss
Участники заседания ЦБ по-разному оценили степень жесткости денежно-кредитных условий,https://www.finam.ru/publications/item/uchastniki-zasedaniya-tsb-po-raznomu-otsenili-stepen-zhestkosti-denezhno-kreditnykh-usloviy-20260923-1737/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 17:37,"Отдельные участники сочли, что денежно-кредитные условия приблизились к нейтральным или даже стали умеренно мягкими...<a href=""https://www.finam.ru/publications/item/uchastniki-zasedaniya-tsb-po-razno",finam_rss
ЦБ наблюдает снижение напряженности на рынке труда,https://www.finam.ru/publications/item/tsb-nablyudaet-snizhenie-napryazhennosti-na-rynke-truda-20260923-1720/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 17:18,"Летом дефицит работников сокращался, безработица несколько выросла, темпы роста номинальных и реальных заработных плат замедлились, отмечает ЦБ...<a href=""https://www.finam.ru/publications/item/tsb-na",finam_rss
В ЦБ видят риск превышения прогноза структурного дефицита бюджета в 2026 году на уровне 2% ВВП,https://www.finam.ru/publications/item/v-tsb-vidyat-risk-prevysheniya-prognoza-strukturnogo-defitsita-byudzheta-v-2026-godu-na-urovne-2-vvp-20260923-1715/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 17:11,"По данным регулятора, исполнение расходов федерального бюджета с начала года шло по высокой траектории...<a href=""https://www.finam.ru/publications/item/v-tsb-vidyat-risk-prevysheniya-prognoza-struktu",finam_rss
ЦБ раскрыл главную тему обсуждения при решении по ключевой ставке в сентябре,https://www.finam.ru/publications/item/tsb-raskryl-glavnuyu-temu-obsuzhdeniya-pri-reshenii-po-klyuchevoy-stavke-v-sentyabre-20260923-1710/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 17:02,"Регулятор наблюдает усиление проинфляционных рисков...<a href=""https://www.finam.ru/publications/item/tsb-raskryl-glavnuyu-temu-obsuzhdeniya-pri-reshenii-po-klyuchevoy-stavke-v-sentyabre-20260923-1710",finam_rss
"«Роснефть», «Транснефть», «Аэрофлот» и еще 5 компаний частично переедут из Москвы в регионы",https://www.finam.ru/publications/item/rosneft-transneft-aeroflot-i-eshche-5-kompaniy-chastichno-pereedut-iz-moskvy-v-regiony-20260923-1655/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 16:55,"В список вошли РЖД, «Почта России», «Россети», «Интер РАО» и «Зарубежнефть»...<a href=""https://www.finam.ru/publications/item/rosneft-transneft-aeroflot-i-eshche-5-kompaniy-chastichno-pereedut-iz-mosk",finam_rss
ЦБ принял решение оштрафовать «Юнипро» за нарушение порядка раскрытия информации,https://www.finam.ru/publications/item/tsb-prinyal-reshenie-oshtrafovat-yunipro-za-narushenie-poryadka-raskrytiya-informatsii-20260923-1535/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 15:28,"Решение в законную силу пока не вступило...<a href=""https://www.finam.ru/publications/item/tsb-prinyal-reshenie-oshtrafovat-yunipro-za-narushenie-poryadka-raskrytiya-informatsii-20260923-1535/?utm_sou",finam_rss
Правительство ставит цель увеличить добычу угля в России к 2030 году на 20%,https://www.finam.ru/publications/item/pravitelstvo-stavit-tsel-uvelichit-dobychu-uglya-v-rossii-k-2030-godu-na-20-20260923-1530/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 15:30,"Добыча должна вырасти к 2030 году до 530,1 млн тонн, к 2036 году – до 595,2 млн тонн, к 2050 году – до 662 млн...<a href=""https://www.finam.ru/publications/item/pravitelstvo-stavit-tsel-uvelichit-doby",finam_rss
"Инвестиции в геологоразведку меди в России в 2026 году вырастут в 1,5 раза",https://www.finam.ru/publications/item/investitsii-v-geologorazvedku-medi-v-rossii-v-2026-godu-vyrastut-v-15-raza-20260923-1437/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 14:37,"Ожидается прирост запасов на 1,7 млн тонн...<a href=""https://www.finam.ru/publications/item/investitsii-v-geologorazvedku-medi-v-rossii-v-2026-godu-vyrastut-v-15-raza-20260923-1437/?utm_source=rss&amp",finam_rss
АКРА повысило кредитный рейтинг Positive Technologies до уровня AA(RU),https://www.finam.ru/publications/item/akra-povysilo-kreditnyy-reyting-positive-technologies-do-urovnya-aaru-20260923-1318/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 13:09,"Прогноз - ""стабильный""...<a href=""https://www.finam.ru/publications/item/akra-povysilo-kreditnyy-reyting-positive-technologies-do-urovnya-aaru-20260923-1318/?utm_source=rss&amp;utm_medium=new_compaign",finam_rss
Индекс МосБиржи падает на словах Пескова об отсутствии предпосылок для выхода на мирные переговоры по Украине,https://www.finam.ru/publications/item/indeks-mosbirzhi-padaet-na-slovakh-peskova-ob-otsutstvii-predposylok-dlya-vykhoda-na-mirnye-peregovory-po-ukraine-20260923-1240/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 12:28,"При этом представитель Кремля отметил, что Москва сохраняет свою открытость для мирных переговоров...<a href=""https://www.finam.ru/publications/item/indeks-mosbirzhi-padaet-na-slovakh-peskova-ob-otsut",finam_rss
Чем сегодня живет российский рынок,https://www.finam.ru/publications/item/chem-segodnya-zhivet-rossiyskiy-rynok-20260923-1229/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 12:29,"Переговоры на полях ООН и санкционная оттепель...<a href=""https://www.finam.ru/publications/item/chem-segodnya-zhivet-rossiyskiy-rynok-20260923-1229/?utm_source=rss&amp;utm_medium=new_compaigns&amp;ne",finam_rss
"ОЭСР сохранила прогноз по росту ВВП РФ на 2026 год на уровне 0,5%",https://www.finam.ru/publications/item/oesr-sokhranila-prognoz-po-rostu-vvp-rf-na-2026-god-na-urovne-05-20260923-1146/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 11:37,"При этом прогноз на 2027 год понижен с 0,8% до 0,6%...<a href=""https://www.finam.ru/publications/item/oesr-sokhranila-prognoz-po-rostu-vvp-rf-na-2026-god-na-urovne-05-20260923-1146/?utm_source=rss&amp",finam_rss
Ozon расширил программу поддержки для продавцов,https://www.finam.ru/publications/item/ozon-rasshiril-programmu-podderzhki-dlya-prodavtsov-20260923-1123/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 11:18,"Меры включают бесплатное размещение товаров на складах маркетплейса в течение 365 дней...<a href=""https://www.finam.ru/publications/item/ozon-rasshiril-programmu-podderzhki-dlya-prodavtsov-20260923-11",finam_rss
«Ъ» узнал о планах правительства ввести сбор с авиабилетов на поддержку российских самолетов,https://www.finam.ru/publications/item/uznal-o-planakh-pravitelstva-vvesti-sbor-s-aviabiletov-na-podderzhku-rossiyskikh-samoletov-20260923-1028/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 10:13,"По данным источников газеты, сбор может составить до 500-700 рублей за внутренний рейс и до 1000-2000 рублей за международный...<a href=""https://www.finam.ru/publications/item/uznal-o-planakh-pravitel",finam_rss
"Дефицит бюджета России в 1 полугодии составил 5,8 трлн рублей",https://www.finam.ru/publications/item/defitsit-byudzheta-rossii-v-1-polugodii-sostavil-58-trln-rubley-20260923-0936/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 09:28,"По данным Счетной палаты, этот объем в 1,5 раза превышает запланированный показатель на весь год...<a href=""https://www.finam.ru/publications/item/defitsit-byudzheta-rossii-v-1-polugodii-sostavil-58-t",finam_rss
Акции «Газпрома» и «НОВАТЭКа» тянут российский рынок вверх,https://www.finam.ru/publications/item/aktsii-gazproma-i-novateka-tyanut-rossiyskiy-rynok-vverkh-20260923-0922/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 08:42,"Рубль умеренно снижается в начале основной сессии...<a href=""https://www.finam.ru/publications/item/aktsii-gazproma-i-novateka-tyanut-rossiyskiy-rynok-vverkh-20260923-0922/?utm_source=rss&amp;utm_medi",finam_rss
Миллиардер Тодд Боули получил поддержку США для покупки зарубежных активов «ЛУКОЙЛа»,https://www.finam.ru/publications/item/milliarder-todd-bouli-poluchil-podderzhku-ssha-dlya-pokupki-zarubezhnykh-aktivov-lukoyla-20260923-0901/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-23 08:51,"По данным FT, консорциум Боули стремится опередить Carlyle, которая достигла соглашения с «ЛУКОЙЛом» в январе этого года...<a href=""https://www.finam.ru/publications/item/milliarder-todd-bouli-poluchi",finam_rss
