title,link,date,description,source
Количество договоров в рамках Программы долгосрочных сбережений превысило 14 млн,https://www.finam.ru/publications/item/kolichestvo-dogovorov-v-ramkakh-programmy-dolgosrochnykh-sberezheniy-prevysilo-14-mln-20260921-1437/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-21 14:37,"Объем привлеченных средств составил 1,2 трлн рублей...<a href=""https://www.finam.ru/publications/item/kolichestvo-dogovorov-v-ramkakh-programmy-dolgosrochnykh-sberezheniy-prevysilo-14-mln-20260921-143",finam_rss
"""Озон Фармацевтика"" утвердила дивиденды за первое полугодие",https://www.finam.ru/publications/item/ozon-farmatsevtika-utverdila-dividendy-za-pervoe-polugodie-20260921-1430/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-21 14:30,"0,49 рубля на акцию...<a href=""https://www.finam.ru/publications/item/ozon-farmatsevtika-utverdila-dividendy-za-pervoe-polugodie-20260921-1430/?utm_source=rss&amp;utm_medium=new_compaigns&amp;news_to_",finam_rss
Россияне стали больше интересоваться золотыми слитками,https://www.finam.ru/publications/item/rossiyane-stali-bolshe-interesovatsya-zolotymi-slitkami-20260921-1418/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-21 14:18,"Продажи кратно выросли с 2022 года...<a href=""https://www.finam.ru/publications/item/rossiyane-stali-bolshe-interesovatsya-zolotymi-slitkami-20260921-1418/?utm_source=rss&amp;utm_medium=new_compaigns&",finam_rss
АКРА подтвердило кредитный рейтинг «НОВАТЭКа» на уровне AAA(RU),https://www.finam.ru/publications/item/akra-podtverdilo-kreditnyy-reyting-novateka-na-urovne-aaaru-20260921-1334/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-21 13:31,"Прогноз - «стабильный»...<a href=""https://www.finam.ru/publications/item/akra-podtverdilo-kreditnyy-reyting-novateka-na-urovne-aaaru-20260921-1334/?utm_source=rss&amp;utm_medium=new_compaigns&amp;news",finam_rss
Минфин России допускает в течение года небольшие закупки алмазов в Гохран,https://www.finam.ru/publications/item/minfin-rossii-dopuskaet-v-techenie-goda-nebolshie-zakupki-almazov-v-gokhran-20260921-1330/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-21 13:30,"Решение пока не принято...<a href=""https://www.finam.ru/publications/item/minfin-rossii-dopuskaet-v-techenie-goda-nebolshie-zakupki-almazov-v-gokhran-20260921-1330/?utm_source=rss&amp;utm_medium=new_c",finam_rss
Российский рынок дрейфует вниз,https://www.finam.ru/publications/item/rossiyskiy-rynok-dreyfuet-vniz-20260921-1300/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-21 12:54,"Геополитика и нефть задают тон, драйверы роста ограничены...<a href=""https://www.finam.ru/publications/item/rossiyskiy-rynok-dreyfuet-vniz-20260921-1300/?utm_source=rss&amp;utm_medium=new_compaigns&am",finam_rss
"Совет директоров «М.Видео» установил цену допэмиссии акций в размере 49,9 рубля за бумагу",https://www.finam.ru/publications/item/sovet-direktorov-mvideo-ustanovil-tsenu-dopemissii-aktsiy-v-razmere-499-rublya-za-bumagu-20260921-1209/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-21 12:05,"Допэмиссия пройдет по закрытой подписке...<a href=""https://www.finam.ru/publications/item/sovet-direktorov-mvideo-ustanovil-tsenu-dopemissii-aktsiy-v-razmere-499-rublya-za-bumagu-20260921-1209/?utm_so",finam_rss
"Госпакет ""Аэрофлота"" может быть продан как в 2026, так и в 2027 году",https://www.finam.ru/publications/item/gospaket-aeroflota-mozhet-byt-prodan-kak-v-2026-tak-i-v-2027-godu-20260921-1159/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-21 11:56,"Об этом рассказал замминистра финансов РФ Алексей Моисеев...<a href=""https://www.finam.ru/publications/item/gospaket-aeroflota-mozhet-byt-prodan-kak-v-2026-tak-i-v-2027-godu-20260921-1159/?utm_source=",finam_rss
ОАК намерена нарастить производство самолетов на 35% в 2026 году,https://www.finam.ru/publications/item/oak-namerena-narastit-proizvodstvo-samoletov-na-35-v-2026-godu-20260921-1146/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-21 11:41,"Глава ОАК уверен, что компания закончит этот год с положительным финансовым результатом...<a href=""https://www.finam.ru/publications/item/oak-namerena-narastit-proizvodstvo-samoletov-na-35-v-2026-godu",finam_rss
"""Газпром"" идет против рынка",https://www.finam.ru/publications/item/rossiyskiy-rynok-vernulsya-k-padeniyu-20260921-1145/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-21 11:37,"Российский рынок вернулся к падению...<a href=""https://www.finam.ru/publications/item/rossiyskiy-rynok-vernulsya-k-padeniyu-20260921-1145/?utm_source=rss&amp;utm_medium=new_compaigns&amp;news_to_finam",finam_rss
