title,link,date,description,source
"Банк России сохранил ключевую ставку на уровне 14%, прервав цикл снижения",https://www.finam.ru/publications/item/bank-rossii-sokhranil-klyuchevuyu-stavku-na-urovne-14-prervav-tsikl-snizheniya-20260911-1321/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 13:21,"До этого ЦБ снижал ставку 10 заседаний подряд с июня 2025 года...<a href=""https://www.finam.ru/publications/item/bank-rossii-sokhranil-klyuchevuyu-stavku-na-urovne-14-prervav-tsikl-snizheniya-20260911",finam_rss
«Эксперт РА» снизил кредитный рейтинг МГКЛ до уровня ruB,https://www.finam.ru/publications/item/ekspert-ra-snizil-kreditnyy-reyting-mgkl-do-urovnya-rub-20260911-1320/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 13:20,"Ранее у компании действовал рейтинг на уровне ruBB- со стабильным прогнозом...<a href=""https://www.finam.ru/publications/item/ekspert-ra-snizil-kreditnyy-reyting-mgkl-do-urovnya-rub-20260911-1320/?utm",finam_rss
Акционеры «Диасофта» утвердили дивиденды за 1 полугодие 2026 года в размере 16 рублей на акцию,https://www.finam.ru/publications/item/aktsionery-diasofta-utverdili-dividendy-za-1-polugodie-2026-goda-v-razmere-16-rubley-na-aktsiyu-20260911-1244/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 12:40,"В общей сложности выплаты составят 168 млн рублей...<a href=""https://www.finam.ru/publications/item/aktsionery-diasofta-utverdili-dividendy-za-1-polugodie-2026-goda-v-razmere-16-rubley-na-aktsiyu-2026",finam_rss
"Объем вторичных торгов облигациями на Мосбирже в августе вырос на 32,1%",https://www.finam.ru/publications/item/obem-vtorichnykh-torgov-obligatsiyami-na-mosbirzhe-v-avguste-vyros-na-321-20260911-1239/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 12:39,"Показатель составил 1,5 трлн рублей...<a href=""https://www.finam.ru/publications/item/obem-vtorichnykh-torgov-obligatsiyami-na-mosbirzhe-v-avguste-vyros-na-321-20260911-1239/?utm_source=rss&amp;utm_me",finam_rss
Страны БРИКС являются основными покупателями удобрений из России,https://www.finam.ru/publications/item/strany-briks-yavlyayutsya-osnovnymi-pokupatelyami-udobreniy-iz-rossii-20260911-1218/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 12:18,"«Фосагро» намерена в текущем году побить рекорд по экспорту удобрений в Эфиопию...<a href=""https://www.finam.ru/publications/item/strany-briks-yavlyayutsya-osnovnymi-pokupatelyami-udobreniy-iz-rossii-",finam_rss
АКРА подтвердило кредитный рейтинг ММК на уровне АA+(RU),https://www.finam.ru/publications/item/akra-podtverdilo-kreditnyy-reyting-mmk-na-urovne-aaru-20260911-1153/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 11:53,"Прогноз по рейтингу – «стабильный»...<a href=""https://www.finam.ru/publications/item/akra-podtverdilo-kreditnyy-reyting-mmk-na-urovne-aaru-20260911-1153/?utm_source=rss&amp;utm_medium=new_compaigns&am",finam_rss
Positive Technologies приобрела долю в компании в сфере кибербезопасности CyberOK,https://www.finam.ru/publications/item/positive-technologies-priobrela-dolyu-v-kompanii-v-sfere-kiberbezopasnosti-cyberok-20260911-1144/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 11:44,"Инвестиция позволит ускорить развитие защиты внешнего периметра...<a href=""https://www.finam.ru/publications/item/positive-technologies-priobrela-dolyu-v-kompanii-v-sfere-kiberbezopasnosti-cyberok-202",finam_rss
"Стоимость риска по корпоративным кредитам в «Сбере» растет, но не критично, заявил Греф",https://www.finam.ru/publications/item/stoimost-riska-po-korporativnym-kreditam-v-sbere-rastet-no-ne-kritichno-zayavil-gref-20260911-1128/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 11:28,"Конец года ожидается непростым...<a href=""https://www.finam.ru/publications/item/stoimost-riska-po-korporativnym-kreditam-v-sbere-rastet-no-ne-kritichno-zayavil-gref-20260911-1128/?utm_source=rss&amp;",finam_rss
"Группа «Аэрофлот» в августе снизила перевозки пассажиров на 1,3%",https://www.finam.ru/publications/item/gruppa-aeroflot-v-avguste-snizila-perevozki-passazhirov-na-13-20260911-1109/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 11:09,"За 8 месяцев перевозки снизились на 0,1%...<a href=""https://www.finam.ru/publications/item/gruppa-aeroflot-v-avguste-snizila-perevozki-passazhirov-na-13-20260911-1109/?utm_source=rss&amp;utm_medium=ne",finam_rss
"Инвесторы осторожничают, в лидерах падения акции «Озон»",https://www.finam.ru/publications/item/investory-ostorozhnichayut-v-liderakh-padeniya-aktsii-ozon-20260911-1026/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-11 10:26,"В ожидании решения по ставке трейдеры не спешат рисковать, имеет место и коррекция после вчерашнего ралли...<a href=""https://www.finam.ru/publications/item/investory-ostorozhnichayut-v-liderakh-padeni",finam_rss
