title,link,date,description,source
"Товарооборот России и Беларуси вырос в 1 полугодии 2026 года на 12,5%",https://www.finam.ru/publications/item/tovarooborot-rossii-i-belarusi-vyros-v-1-polugodii-2026-goda-na-125-20260920-1142/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-20 11:42,"Россия нарастила поставки промышленного оборудования, химической продукции и продовольствия...<a href=""https://www.finam.ru/publications/item/tovarooborot-rossii-i-belarusi-vyros-v-1-polugodii-2026-go",finam_rss
Индекс МосБиржи падает на фоне ухудшения геополитического фона,https://www.finam.ru/publications/item/indeks-mosbirzhi-padaet-na-fone-ukhudsheniya-geopoliticheskogo-fona-20260920-1034/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-20 10:34,"К 10:25 мск индикатор отступает на 0,76%...<a href=""https://www.finam.ru/publications/item/indeks-mosbirzhi-padaet-na-fone-ukhudsheniya-geopoliticheskogo-fona-20260920-1034/?utm_source=rss&amp;utm_med",finam_rss
Россия нарастила в январе-августе поставки нефти и СПГ в Китай,https://www.finam.ru/publications/item/rossiya-narastila-v-yanvare-avguste-postavki-nefti-i-spg-v-kitay-20260920-0925/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-20 09:25,"Нефти – на 18,1%, а СПГ – на 28,3%...<a href=""https://www.finam.ru/publications/item/rossiya-narastila-v-yanvare-avguste-postavki-nefti-i-spg-v-kitay-20260920-0925/?utm_source=rss&amp;utm_medium=new_c",finam_rss
Правительство России скорректировало правила разработки бюджетного прогноза,https://www.finam.ru/publications/item/pravitelstvo-rossii-skorrektirovalo-pravila-razrabotki-byudzhetnogo-prognoza-20260919-1957/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-19 19:57,"Поправки должны повысить качество и обоснованность долгосрочного бюджетного планирования...<a href=""https://www.finam.ru/publications/item/pravitelstvo-rossii-skorrektirovalo-pravila-razrabotki-byudzh",finam_rss
Российский рынок по итогам субботних торгов остался в минусе на фоне санкционных опасений,https://www.finam.ru/publications/item/rossiyskiy-rynok-po-itogam-subbotnikh-torgov-ostalsya-v-minuse-na-fone-sanktsionnykh-opaseniy-20260919-1942/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-19 19:42,"В лидерах снижения «Яндекс», «Позитив» и «НОВАТЭК»...<a href=""https://www.finam.ru/publications/item/rossiyskiy-rynok-po-itogam-subbotnikh-torgov-ostalsya-v-minuse-na-fone-sanktsionnykh-opaseniy-20260",finam_rss
Российский рынок снижается после подписания Трампом закона об «адских санкциях»,https://www.finam.ru/publications/item/rossiyskiy-rynok-snizhaetsya-posle-podpisaniya-trampom-zakona-ob-adskikh-sanktsiyakh-20260919-1033/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-19 10:33,"Индекс МосБиржи в минусе на 0,7%...<a href=""https://www.finam.ru/publications/item/rossiyskiy-rynok-snizhaetsya-posle-podpisaniya-trampom-zakona-ob-adskikh-sanktsiyakh-20260919-1033/?utm_source=rss&am",finam_rss
Ввод жилья в России за январь-август снизился до 58 млн кв. м.,https://www.finam.ru/publications/item/vvod-zhilya-v-rossii-za-yanvar-avgust-snizilsya-do-58-mln-kv-m-20260919-0916/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-19 09:16,"С начала 2026 года запущено 26,6 млн кв. м. жилищных проектов...<a href=""https://www.finam.ru/publications/item/vvod-zhilya-v-rossii-za-yanvar-avgust-snizilsya-do-58-mln-kv-m-20260919-0916/?utm_source",finam_rss
Трамп подписал закон об «адских санкциях» против России,https://www.finam.ru/publications/item/tramp-podpisal-zakon-ob-adskikh-sanktsiyakh-protiv-rossii-20260919-0838/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-19 08:38,"Пока неясно, воспользуется ли администрация США на практике новыми полномочиями для усиления давления на Россию...<a href=""https://www.finam.ru/publications/item/tramp-podpisal-zakon-ob-adskikh-sankts",finam_rss
Рынок вырос на слухах о переговорах по газу и ожиданиях сделок с США,https://www.finam.ru/publications/item/rynok-vyros-na-slukhakh-o-peregovorakh-po-gazu-i-ozhidaniyakh-sdelok-s-ssha-20260918-2100/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-18 19:53,"Активность трейдеров определяют заголовки и ожидания...<a href=""https://www.finam.ru/publications/item/rynok-vyros-na-slukhakh-o-peregovorakh-po-gazu-i-ozhidaniyakh-sdelok-s-ssha-20260918-2100/?utm_so",finam_rss
"""Аэрофлот"" планирует использовать самолеты МС-21 в том числе и для международных рейсов",https://www.finam.ru/publications/item/aeroflot-planiruet-ispolzovat-samolety-ms-21-v-tom-chisle-i-dlya-mezhdunarodnykh-reysov-20260918-2015/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-18 20:11,"Самолеты МС-21 будут распределены между авиакомпаниями ""Аэрофлот"" и ""Россия""...<a href=""https://www.finam.ru/publications/item/aeroflot-planiruet-ispolzovat-samolety-ms-21-v-tom-chisle-i-dlya-mezhduna",finam_rss
