title,link,date,description,source
Российский рынок углубляет коррекцию,https://www.finam.ru/publications/item/rossiyskiy-rynok-uglublyaet-korrektsiyu-20260917-1254/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-17 12:54,"Нефть дешевеет, санкционные риски и геополитика давят на индекс — поддержка смещается к 2250 по IMOEX...<a href=""https://www.finam.ru/publications/item/rossiyskiy-rynok-uglublyaet-korrektsiyu-20260917",finam_rss
Ozon запустил платформу для поиска и аренды складских помещений,https://www.finam.ru/publications/item/ozon-zapustil-platformu-dlya-poiska-i-arendy-skladskikh-pomeshcheniy-20260917-1153/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-17 11:49,"На сайте платформы размещен список проектов с конкретными локациями, площадями и другими параметрами...<a href=""https://www.finam.ru/publications/item/ozon-zapustil-platformu-dlya-poiska-i-arendy-skla",finam_rss
"Средний размер потребкредита в России в августе снизился на 13,1%",https://www.finam.ru/publications/item/sredniy-razmer-potrebkredita-v-rossii-v-avguste-snizilsya-na-131-20260917-1056/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-17 10:47,"В прошлом месяце средний размер потребкредита по стране составил 180,3 тыс. рублей...<a href=""https://www.finam.ru/publications/item/sredniy-razmer-potrebkredita-v-rossii-v-avguste-snizilsya-na-131-20",finam_rss
«Циан» сообщил о росте спроса на новостройки в 3 квартале на 11%,https://www.finam.ru/publications/item/tsian-soobshchil-o-roste-sprosa-na-novostroyki-v-3-kvartale-na-11-20260917-1044/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-17 10:34,"При этом объем предложения снизился на 2%...<a href=""https://www.finam.ru/publications/item/tsian-soobshchil-o-roste-sprosa-na-novostroyki-v-3-kvartale-na-11-20260917-1044/?utm_source=rss&amp;utm_medi",finam_rss
Экспорт электроэнергии «Интер РАО» за январь-август почти сохранился на уровне прошлого года,https://www.finam.ru/publications/item/eksport-elektroenergii-inter-rao-za-yanvar-avgust-pochti-sokhranilsya-na-urovne-proshlogo-goda-20260917-1015/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-17 10:08,"На результат по итогам 2026 года будут влиять валютные колебания и изменение ремонтных программ соседних стран, отметили в компании...<a href=""https://www.finam.ru/publications/item/eksport-elektroene",finam_rss
Рубль выглядит стабильным в преддверии экспирации сентябрьского фьючерса на доллар,https://www.finam.ru/publications/item/rubl-vyglyadit-stabilnym-v-preddverii-ekspiratsii-sentyabrskogo-fyuchersa-na-dollar-20260917-0918/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-17 08:41,"Рынок акций снижается, но остается выше 2250 пунктов по индексу МосБиржи...<a href=""https://www.finam.ru/publications/item/rubl-vyglyadit-stabilnym-v-preddverii-ekspiratsii-sentyabrskogo-fyuchersa-na-",finam_rss
Минцифры обсуждает с Apple подключение 5G на iPhone в России,https://www.finam.ru/publications/item/mintsifry-obsuzhdaet-s-apple-podklyuchenie-5g-na-iphone-v-rossii-20260917-0917/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-17 09:15,"На текущий момент 5G запущен в 16 городах России...<a href=""https://www.finam.ru/publications/item/mintsifry-obsuzhdaet-s-apple-podklyuchenie-5g-na-iphone-v-rossii-20260917-0917/?utm_source=rss&amp;ut",finam_rss
"Акционеры «Хэдхантера», ММЦБ и «Озон Фармацевтики» проголосуют по дивидендам – основные события 17 сентября",https://www.finam.ru/publications/item/aktsionery-khedkhantera-mmtsb-i-ozon-farmatsevtiki-progolosuyut-po-dividendam-osnovnye-sobytiya-17-sentyabrya-20260917-0900/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-16 17:24,"Будет приниматься решение по дивидендам за 1 полугодие 2026 года...<a href=""https://www.finam.ru/publications/item/aktsionery-khedkhantera-mmtsb-i-ozon-farmatsevtiki-progolosuyut-po-dividendam-osnovny",finam_rss
"""Сбербанк"" может получить в управление часть проектов ""Самолета""",https://www.finam.ru/publications/item/sberbank-mozhet-poluchit-upravlenie-nad-chastyu-proektov-samoleta-20260917-0835/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-17 08:31,"Пока условия сделки находятся на стадии обсуждения...<a href=""https://www.finam.ru/publications/item/sberbank-mozhet-poluchit-upravlenie-nad-chastyu-proektov-samoleta-20260917-0835/?utm_source=rss&amp",finam_rss
"Рынок акций утром остается в красном, санкции добавляют негатива",https://www.finam.ru/publications/item/rynok-aktsiy-utrom-ostaetsya-v-krasnom-sanktsii-dobavlyayut-negativa-20260917-0821/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-17 08:11,"Палата представителей США одобрила так называемые «адские санкции» против России, слово за Трампом...<a href=""https://www.finam.ru/publications/item/rynok-aktsiy-utrom-ostaetsya-v-krasnom-sanktsii-dob",finam_rss
