title,link,date,description,source
Страны ЕС не смогли продлить один из ключевых режимов санкций против России,https://www.finam.ru/publications/item/strany-es-ne-smogli-prodlit-odin-iz-klyuchevykh-rezhimov-sanktsiy-protiv-rossii-20260914-1349/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-14 13:49,"Большинство выступили против пересмотра списков...<a href=""https://www.finam.ru/publications/item/strany-es-ne-smogli-prodlit-odin-iz-klyuchevykh-rezhimov-sanktsiy-protiv-rossii-20260914-1349/?utm_sou",finam_rss
ДОМ.РФ Банк обновил фирменный стиль,https://www.finam.ru/publications/item/domrf-bank-obnovil-firmennyy-stil-20260914-1239/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-14 12:39,"Банк ушел от зеленого и выбрал небесно-голубой...<a href=""https://www.finam.ru/publications/item/domrf-bank-obnovil-firmennyy-stil-20260914-1239/?utm_source=rss&amp;utm_medium=new_compaigns&amp;news_t",finam_rss
Акции «Газпрома» удивляют,https://www.finam.ru/publications/item/aktsii-gazproma-udivlyayut-20260914-1229/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-14 12:29,"Начало технического отскока или пока только разворот?...<a href=""https://www.finam.ru/publications/item/aktsii-gazproma-udivlyayut-20260914-1229/?utm_source=rss&amp;utm_medium=new_compaigns&amp;news_t",finam_rss
"Число выданных потребкредитов выросло в августе на 0,7% м/м",https://www.finam.ru/publications/item/chislo-vydannykh-potrebkreditov-po-dannym-nbki-vyroslo-v-avguste-na-07-mm-20260914-1224/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-14 12:24,"Показатель составил 2,08 млн единиц...<a href=""https://www.finam.ru/publications/item/chislo-vydannykh-potrebkreditov-po-dannym-nbki-vyroslo-v-avguste-na-07-mm-20260914-1224/?utm_source=rss&amp;utm_me",finam_rss
Акции «ЕвроТранса» дорожали в моменте на 38%,https://www.finam.ru/publications/item/aktsii-evrotransa-dorozhali-v-momente-na-38-20260914-1154/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-14 11:54,"Рост наблюдается в рамках коррекции после заметного падения в течение предыдущих нескольких недель...<a href=""https://www.finam.ru/publications/item/aktsii-evrotransa-dorozhali-v-momente-na-38-2026091",finam_rss
Правительство утвердило стратегию развития креативной экономики до 2036 года,https://www.finam.ru/publications/item/pravitelstvo-utverdilo-strategiyu-razvitiya-kreativnoy-ekonomiki-do-2036-goda-20260914-1145/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-14 11:45,"Доля креативной экономики в общем объеме ВВП, как ожидается, вырастет с 4,2% в 2025 году до 7,7% к 2036 году...<a href=""https://www.finam.ru/publications/item/pravitelstvo-utverdilo-strategiyu-razviti",finam_rss
Мосбиржа включит коммерческие облигации в режим ОТС с ЦК,https://www.finam.ru/publications/item/mosbirzha-vklyuchit-kommercheskie-obligatsii-v-rezhim-ots-s-tsk-20260914-1135/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-14 11:35,"Это позволит активизировать вторичные торги в контуре привычной биржевой инфраструктуры...<a href=""https://www.finam.ru/publications/item/mosbirzha-vklyuchit-kommercheskie-obligatsii-v-rezhim-ots-s-ts",finam_rss
Ассоциация инвесторов разобрала возражения эмитентов к проекту положения ЦБ «О допуске ценных бумаг к организованным торгам»,https://www.finam.ru/publications/item/assotsiatsiya-investorov-razobrala-vozrazheniya-emitentov-k-proektu-polozheniya-tsb-o-dopuske-tsennykh-bumag-k-organizovannym-torgam-20260914-1102/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-14 11:02,"Большая часть аргументов касается того, что новые требования неудобны, затратны или ограничивают свободу эмитента...<a href=""https://www.finam.ru/publications/item/assotsiatsiya-investorov-razobrala-v",finam_rss
«Газпром» приостановил поставки газа в Армению из-за ремонта трубопровода,https://www.finam.ru/publications/item/gazprom-priostanovil-postavki-gaza-v-armeniyu-iz-za-remonta-truboprovoda-20260914-1037/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-14 10:37,"С 15 по 25 сентября будет приостановлена поставка по газопроводу «Северный Кавказ — Закавказье»...<a href=""https://www.finam.ru/publications/item/gazprom-priostanovil-postavki-gaza-v-armeniyu-iz-za-re",finam_rss
Ставки фрахта из портов Черного моря достигли исторических максимумов,https://www.finam.ru/publications/item/stavki-frakhta-iz-portov-chernogo-morya-dostigli-istoricheskikh-maksimumov-20260914-0955/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns,2026-09-14 09:55,"Фрахтовые ставки непрерывно растут уже седьмую неделю кряду...<a href=""https://www.finam.ru/publications/item/stavki-frakhta-iz-portov-chernogo-morya-dostigli-istoricheskikh-maksimumov-20260914-0955/?",finam_rss
